iter	Passed	Remaining
0	17	17533
1	18	9353
2	19	6556
3	20	5155
4	21	4248
5	22	3649
6	22	3212
7	23	2886
8	23	2630
9	24	2427
10	25	2262
11	25	2125
12	26	2004
13	27	1901
14	27	1811
15	28	1737
16	28	1671
17	29	1608
18	30	1554
19	30	1502
20	31	1458
21	31	1417
22	32	1380
23	33	1348
24	33	1316
25	34	1287
26	34	1259
27	35	1239
28	36	1214
29	36	1191
30	37	1172
31	38	1156
32	39	1142
33	39	1124
34	40	1107
35	40	1090
36	41	1075
37	41	1061
38	42	1046
39	43	1034
40	43	1021
41	44	1009
42	44	1000
43	45	988
44	46	977
45	46	966
46	47	956
47	47	947
48	48	938
49	48	929
50	49	922
51	50	915
52	50	907
53	51	900
54	52	894
55	52	887
56	53	881
57	53	874
58	54	868
59	55	862
60	55	857
61	56	852
62	56	847
63	57	841
64	58	835
65	58	829
66	59	824
67	59	818
68	60	814
69	60	809
70	61	805
71	62	800
72	62	796
73	63	791
74	63	786
75	64	781
76	64	777
77	65	772
78	65	768
79	66	764
80	66	759
81	67	755
82	67	749
83	68	744
84	68	740
85	69	737
86	69	734
87	70	731
88	71	727
89	71	724
90	72	721
91	72	717
92	73	714
93	73	712
94	74	709
95	75	706
96	75	703
97	76	700
98	76	698
99	77	695
100	77	692
101	78	690
102	78	687
103	79	685
104	80	682
105	80	679
106	81	677
107	81	674
108	82	671
109	82	668
110	83	665
111	83	663
112	84	660
113	84	657
114	85	654
115	85	652
116	86	649
117	86	647
118	87	644
119	87	641
120	88	639
121	88	636
122	89	634
123	89	632
124	89	629
125	90	627
126	90	624
127	91	622
128	92	621
129	92	619
130	92	616
131	93	614
132	93	612
133	94	610
134	94	608
135	95	605
136	95	603
137	96	601
138	96	599
139	97	597
140	97	595
141	98	592
142	98	591
143	99	589
144	99	587
145	100	585
146	100	583
147	100	581
148	101	579
149	101	577
150	102	575
151	102	573
152	103	571
153	103	570
154	104	568
155	104	567
156	105	566
157	106	565
158	106	563
159	107	561
160	107	559
161	107	558
162	108	556
163	108	554
164	109	553
165	109	552
166	110	550
167	110	549
168	111	547
169	111	546
170	112	544
171	112	542
172	113	541
173	113	540
174	114	538
175	114	537
176	115	536
177	115	534
178	116	533
179	116	532
180	117	530
181	117	529
182	118	527
183	118	526
184	119	525
185	119	523
186	120	522
187	120	520
188	121	519
189	121	518
190	122	517
191	122	516
192	123	515
193	123	514
194	124	512
195	124	511
196	125	510
197	125	509
198	126	507
199	126	506
200	127	505
201	127	504
202	128	502
203	128	501
204	129	500
205	129	499
206	129	497
207	130	496
208	130	495
209	131	494
210	132	493
211	132	492
212	133	491
213	133	490
214	134	489
215	134	488
216	134	487
217	135	485
218	135	484
219	136	483
220	136	482
221	137	481
222	137	480
223	138	479
224	138	478
225	139	477
226	139	475
227	140	474
228	140	473
229	141	472
230	141	471
231	142	470
232	142	469
233	143	468
234	143	467
235	144	466
236	144	465
237	145	464
238	145	463
239	146	462
240	146	461
241	147	461
242	147	460
243	148	459
244	148	458
245	149	457
246	149	456
247	150	455
248	150	454
249	151	453
250	151	452
251	152	451
252	152	450
253	153	449
254	153	448
255	154	447
256	154	446
257	154	445
258	155	444
259	155	443
260	156	442
261	156	441
262	157	440
263	157	440
264	158	439
265	158	438
266	159	437
267	159	436
268	160	435
269	160	434
270	161	433
271	161	433
272	162	432
273	162	431
274	163	430
275	163	429
276	164	428
277	164	427
278	165	427
279	165	426
280	166	425
281	166	424
282	167	423
283	167	422
284	168	421
285	168	420
286	168	419
287	169	418
288	169	417
289	170	417
290	170	416
291	171	415
292	171	414
293	172	413
294	172	412
295	173	412
296	173	411
297	174	410
298	174	409
299	175	408
300	175	408
301	176	407
302	176	406
303	177	405
304	177	405
305	178	404
306	178	403
307	179	402
308	179	401
309	180	401
310	180	400
311	181	399
312	181	399
313	182	398
314	182	397
315	183	396
316	183	395
317	184	394
318	184	394
319	185	393
320	185	392
321	186	391
322	186	390
323	187	390
324	187	389
325	188	388
326	188	388
327	189	387
328	189	386
329	190	385
330	190	385
331	190	384
332	191	383
333	191	382
334	192	381
335	192	381
336	193	380
337	193	379
338	194	378
339	194	378
340	195	377
341	195	376
342	196	375
343	196	375
344	197	374
345	197	373
346	198	373
347	198	372
348	199	371
